Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths
01/21/2020,1,1,0,0
01/22/2020,1,0,0,0
01/22/2020,1,0,0,0
01/23/2020,1,0,0,0
01/23/2020,2,1,0,0
01/24/2020,2,0,0,0
01/24/2020,2,0,0,0
01/25/2020,2,0,0,0
01/25/2020,5,3,0,0
01/26/2020,5,0,0,0
01/26/2020,5,0,0,0
01/27/2020,5,0,0,0
01/27/2020,5,0,0,0
01/28/2020,5,0,0,0
01/28/2020,5,0,0,0
01/29/2020,5,0,0,0
01/29/2020,5,0,0,0
01/30/2020,5,0,0,0
01/30/2020,6,1,0,0
01/31/2020,6,0,0,0
01/31/2020,8,2,0,0
02/01/2020,8,0,0,0
02/01/2020,8,0,0,0
02/03/2020,11,3,0,0
02/05/2020,12,1,0,0
02/09/2020,12,0,0,0
02/11/2020,13,1,0,0
02/13/2020,15,2,0,0
02/21/2020,35,20,0,0
02/22/2020,35,0,0,0
02/24/2020,53,18,0,0
02/25/2020,53,0,0,0
02/26/2020,59,6,0,0
02/27/2020,60,1,0,0
02/28/2020,62,2,0,0
02/29/2020,70,8,1,1
03/01/2020,76,6,1,0
03/02/2020,101,25,6,5
03/03/2020,122,21,7,1
03/04/2020,153,31,11,4
03/05/2020,221,68,12,1
03/06/2020,278,57,14,2
03/07/2020,417,139,17,3
03/08/2020,537,120,21,4
03/09/2020,605,68,22,1
03/10/2020,959,354,28,6
03/11/2020,1281,322,36,8
03/12/2020,1663,382,40,4
03/13/2020,2179,516,47,7
03/14/2020,2726,547,54,7
03/15/2020,3499,773,63,9
03/16/2020,4632,1133,85,22
03/17/2020,6421,1789,108,23
03/18/2020,7786,1365,118,10
03/19/2020,13680,5894,200,82
03/20/2020,19101,5421,244,44
03/21/2020,25493,6392,307,63
03/22/2020,33276,7783,417,110
03/23/2020,43667,10391,552,135
03/24/2020,53740,10073,706,154
03/25/2020,65778,12038,942,236
03/26/2020,83836,18058,1209,267
03/27/2020,101657,17821,1581,372
03/28/2020,121478,19821,2026,445
03/29/2020,140886,19408,2467,441
03/30/2020,161807,20921,2978,511
03/31/2020,188172,26365,3873,895
04/01/2020,213372,25200,4757,884
04/02/2020,243453,30081,5926,1169
04/03/2020,275586,32133,7087,1161
04/04/2020,308850,33264,8407,1320
04/05/2020,337072,28222,9619,1212
04/06/2020,366667,29595,10783,1164
04/07/2020,396223,29556,12722,1939
04/08/2020,429052,32829,14695,1973
04/09/2020,461437,32385,16478,1783
04/10/2020,496535,35098,18582,2104
04/11/2020,526396,29861,20458,1876
04/12/2020,555309,28913,22015,1557
04/13/2020,580619,25310,23529,1514
04/14/2020,607670,27051,25832,2303
04/15/2020,636350,28680,28326,2494
04/16/2020,667801,31451,32917,4591
04/17/2020,699706,31905,36773,3856
04/18/2020,732197,32491,38664,1891
04/19/2020,759086,26889,40661,1997
04/20/2020,784326,25240,42094,1433
04/21/2020,812036,27710,44444,2350
04/22/2020,839675,27639,46583,2139
04/23/2020,869170,29495,49954,3371
04/24/2020,905333,36163,51949,1995
04/25/2020,938154,32821,53755,1806
04/26/2020,965783,27629,54881,1126
04/27/2020,988197,22414,56259,1378
04/28/2020,1012582,24385,58355,2096
04/29/2020,1039909,27327,60967,2612
04/30/2020,1069424,29515,62996,2029
05/01/2020,1103461,34037,64943,1947
05/02/2020,1132539,29078,66369,1426
05/03/2020,1158040,25501,67682,1313
05/04/2020,1180375,22335,68922,1240
05/05/2020,1204351,23976,71064,2142
05/06/2020,1228603,24252,73431,2367
05/07/2020,1257023,28420,75662,2231
05/08/2020,1283929,26906,77180,1518
05/09/2020,1309550,25621,78795,1615
05/10/2020,1329260,19710,79526,731
05/11/2020,1347881,18621,80682,1156
05/12/2020,1369574,21693,82376,1694
05/13/2020,1390406,20832,84119,1743
05/14/2020,1417774,27368,85898,1779
05/15/2020,1442824,25050,87530,1632
05/16/2020,1467820,24996,88754,1224
05/17/2020,1486757,18937,89562,808
05/18/2020,1508308,21551,90347,785
05/19/2020,1528568,20260,91921,1574
05/20/2020,1551853,23285,93439,1518
05/21/2020,1577147,25294,94702,1263
05/22/2020,1600937,23790,95979,1277
05/23/2020,1622612,21675,97087,1108
05/24/2020,1643246,20634,97720,633
05/25/2020,1662302,19056,98220,500
05/26/2020,1680913,18611,98913,693
05/27/2020,1699176,18263,100418,1505
05/28/2020,1721753,22577,101616,1198
05/29/2020,1746019,24266,102809,1193
05/30/2020,1770165,24146,103776,967
05/31/2020,1790172,20007,104381,605
06/01/2020,1811020,20848,105149,768
06/02/2020,1831821,20801,106180,1031
06/03/2020,1851520,19699,107175,995
06/04/2020,1872660,21140,108211,1036
06/05/2020,1902632,29972,109373,1162
06/06/2020,1925765,23133,110083,710
06/07/2020,1943880,18115,110528,445
06/08/2020,1961428,17548,111011,483
06/09/2020,1979489,18061,111989,978
06/10/2020,2000464,20975,112924,935
06/11/2020,2023347,22883,113820,896
06/12/2020,2048986,25639,114669,849
06/13/2020,2074526,25540,115436,767
06/14/2020,2094058,19532,115732,296
06/15/2020,2114026,19968,116127,395
06/16/2020,2137731,23705,116963,836
06/17/2020,2163290,25559,117717,754
06/18/2020,2191053,27763,118438,721
06/19/2020,2222812,31759,119125,687
06/20/2020,2255119,32307,119719,594
06/21/2020,2281290,26171,119977,258
06/22/2020,2312300,31010,120402,425
06/23/2020,2347022,34722,121228,826
06/24/2020,2381493,34471,121980,752
06/25/2020,2422299,40806,124410,2430
06/26/2020,2467554,45255,125039,629
06/27/2020,2510151,42597,125539,500
06/28/2020,2548996,38845,125803,264
06/29/2020,2590651,41655,126140,337
06/30/2020,2635417,44766,127417,1277
07/01/2020,2686258,50841,128062,645
07/02/2020,2739879,53621,128740,678
07/03/2020,2794153,54274,129434,694
07/04/2020,2839436,45283,129676,242
07/05/2020,2888635,49199,129947,271
07/06/2020,2936077,47442,130285,338
07/07/2020,2996098,60021,131480,1195
07/08/2020,3054699,58601,132300,820
07/09/2020,3117946,63247,133290,990
07/10/2020,3184573,66627,134092,802
07/11/2020,3245925,61352,134777,685
07/12/2020,3304942,59017,135205,428
07/13/2020,3364157,59215,135566,361
07/14/2020,3431574,67417,136466,900
07/15/2020,3497847,66273,137407,941
07/16/2020,3576157,78310,138358,951
07/17/2020,3647715,71558,139266,908
07/18/2020,3711413,63698,140119,853
07/19/2020,3773260,61847,140534,415
07/20/2020,3834677,61417,140913,379
07/21/2020,3899211,64534,141995,1082
07/22/2020,3970085,70874,143190,1195
07/23/2020,4038748,68663,144304,1114
07/24/2020,4112531,73783,145546,1242
07/25/2020,4178021,65490,146460,914
07/26/2020,4233923,55902,146935,475
07/27/2020,4290337,56414,148012,1077
07/28/2020,4356206,65869,149310,1298
07/29/2020,4426982,70776,150713,1403
07/30/2020,4495015,68033,152055,1342
07/31/2020,4562038,67023,153314,1259
08/01/2020,4620444,58406,154447,1133
08/02/2020,4667955,47511,154860,413
08/03/2020,4713540,45585,155402,542
08/04/2020,4771080,57540,156801,1399
08/05/2020,4823890,52810,158250,1449
08/06/2020,4883582,59692,160104,1854
08/07/2020,4941755,58173,161347,1243
08/08/2020,4997929,56174,162423,1076
08/09/2020,5044864,46935,162938,515
08/10/2020,5094400,49536,163463,525
08/11/2020,5141208,46808,164527,1064
08/12/2020,5197411,56203,166034,1507
08/13/2020,5248854,51443,167110,1076
08/14/2020,5313252,64398,168452,1342
08/15/2020,5361165,47913,169481,1029
08/16/2020,5403213,42048,170052,571
08/17/2020,5438325,35112,170497,445
08/17/2020,5483388,45063,171821,1324
08/18/2020,5483388,0,171821,0
08/19/2020,5529824,46436,173177,1356
08/20/2020,5573847,44023,174255,1078
08/21/2020,5622540,48693,175370,1115
08/22/2020,5667112,44572,176353,983
08/23/2020,5701679,34567,176802,449
08/24/2020,5739724,38045,177252,450
08/25/2020,5777710,37986,178486,1234
08/26/2020,5821819,44109,179708,1222
08/27/2020,5867785,45966,180824,1116
08/28/2020,5913941,46156,181800,976
08/29/2020,5961094,47153,182761,961
08/30/2020,5996431,35337,183066,305
08/31/2020,6030587,34156,183597,531
09/01/2020,6073840,43253,184664,1067
09/02/2020,6113510,39670,185720,1056
09/03/2020,6150016,36506,186790,1070
09/04/2020,6200518,50502,187755,965
09/05/2020,6244970,44452,188538,783
09/06/2020,6276365,31395,188941,403
09/07/2020,6300622,24257,189208,267
09/08/2020,6327009,26387,189653,445
09/09/2020,6361265,34256,190859,1206
09/10/2020,6396551,35286,191766,907
09/11/2020,6443743,47192,192979,1213
09/12/2020,6485214,41471,193693,714
09/13/2020,6519573,34359,194071,378
09/14/2020,6553652,34079,194493,422
09/15/2020,6592342,38690,195781,1288
09/16/2020,6630051,37709,196763,982
09/17/2020,6674411,44360,197633,870
09/18/2020,6723933,49522,198570,937
09/19/2020,6768119,44186,199282,712
09/20/2020,6804814,36695,199509,227
09/21/2020,6856884,52070,199865,356
09/22/2020,6896218,39334,200786,921
09/23/2020,6933548,37330,201884,1098
09/24/2020,6977658,44110,202798,914
09/25/2020,7032712,55054,203750,952
09/26/2020,7078089,45377,204490,740
09/27/2020,7115008,36919,204756,266
09/28/2020,7148045,33037,205072,316
09/29/2020,7190230,42185,205986,914
09/30/2020,7233042,42812,206932,946
10/01/2020,7277791,44749,207790,858
10/02/2020,7332297,54506,208697,907
10/03/2020,7382341,50044,209384,687
10/04/2020,7417845,35504,209721,337
10/05/2020,7457402,39557,210181,460
10/06/2020,7499341,41939,210886,705
10/07/2020,7549682,50341,211801,915
10/08/2020,7605873,56191,212762,961
10/09/2020,7663293,57420,213752,990
10/10/2020,7717932,54639,214370,618
10/11/2020,7762546,44614,214768,398
10/12/2020,7804199,41653,215085,317
10/13/2020,7856605,52406,215887,802
10/14/2020,7916099,59494,216872,985
10/15/2020,7979709,63610,217692,820
10/16/2020,8048865,69156,218575,883
10/17/2020,8106384,57519,219286,711
10/18/2020,8154594,48210,219674,388
10/19/2020,8212981,58387,220119,445
10/20/2020,8273296,60315,221052,933
10/21/2020,8336031,62735,222176,1124
10/22/2020,8407702,71671,223032,856
10/23/2020,8491459,83757,223975,943
10/24/2020,8575177,83718,224889,914
10/25/2020,8635966,60789,225229,340
10/26/2020,8702750,66784,225706,477
10/27/2020,8777432,74682,226691,985
10/28/2020,8856413,78981,227685,994
10/29/2020,8944957,88544,228660,975
10/30/2020,9044278,99321,229690,1030
10/31/2020,9133404,89126,230598,908
11/01/2020,9206998,73594,230999,401
11/02/2020,9291087,84089,231490,491
11/03/2020,9382617,91530,232620,1130
11/04/2020,9485448,102831,233717,1097
11/05/2020,9660786,175338,235014,1297
11/06/2020,9785975,125189,236168,1154
11/07/2020,9914870,128895,237204,1036
11/08/2020,9991691,76821,237666,462
11/09/2020,10111077,119386,238256,590
11/10/2020,10256094,145017,240371,2115
11/11/2020,10399325,143231,241813,1442
11/12/2020,10552821,153496,242901,1088
11/13/2020,10737335,184514,244325,1424
11/14/2020,10903890,166555,245591,1266
11/15/2020,11036935,133045,246207,616
11/16/2020,11195388,158453,246965,758
11/17/2020,11357322,161934,248672,1707
11/18/2020,11541986,184664,250613,1941
11/19/2020,11729949,187963,252600,1987
11/20/2020,11925959,196010,254517,1917
11/21/2020,12104032,178073,255946,1429
11/22/2020,12246766,142734,256866,920
11/23/2020,12418228,171462,257779,913
11/24/2020,12591163,172935,259925,2146
11/25/2020,12772653,181490,262222,2297
11/26/2020,12883264,110611,263454,1232
11/27/2020,13088821,205557,264858,1404
11/28/2020,13244417,155596,266047,1189
11/29/2020,13383320,138903,266873,826
11/30/2020,13541221,157901,268045,1172
12/01/2020,13721858,180637,270642,2597
12/02/2020,13921913,200055,273446,2804
12/03/2020,14139577,217664,276325,2879
12/04/2020,14367462,227885,278932,2607
12/05/2020,14581337,213875,281186,2254
12/06/2020,14756982,175645,282299,1113
12/07/2020,14949417,192435,283703,1404
12/08/2020,15165295,215878,286249,2546
12/09/2020,15386562,221267,289373,3124
12/10/2020,15611014,224452,292141,2768
12/11/2020,15842789,231775,295450,3309
12/12/2020,16062299,219510,297818,2368
12/13/2020,16325615,263316,299231,1413
12/14/2020,16518420,192805,300754,1523
12/15/2020,16716777,198357,303773,3019
12/16/2020,16964180,247403,307429,3656
12/17/2020,17209587,245407,310789,3360
12/18/2020,17459296,249709,313610,2821
12/19/2020,17655591,196295,316159,2549
12/20/2020,17844690,189099,317668,1509
12/21/2020,18035209,190519,319364,1696
12/23/2020,18242960,207751,322970,3606
12/24/2020,18470403,227443,326298,3328
12/25/2020,18667560,197157,329184,2886
12/26/2020,18767746,100186,330401,1217
12/27/2020,18994343,226597,332068,1667
12/28/2020,19150811,156468,333282,1214
12/29/2020,19316550,165739,335003,1721
12/30/2020,19514313,197763,338722,3719
12/31/2020,19745497,231184,342459,3737
01/01/2021,19974564,229067,345859,3400
01/02/2021,20132054,157490,347894,2035
01/03/2021,20433912,301858,350290,2396
01/04/2021,20643229,209317,351646,1356
01/05/2021,20819087,175858,353502,1856
01/06/2021,21049605,230518,357269,3767
01/07/2021,21299340,249735,361123,3854
01/08/2021,21574043,274703,365208,4085
01/10/2021,22224220,650177,372530,7322
01/11/2021,22437501,213281,374354,1824
01/12/2021,22651464,213963,376360,2006
01/13/2021,22877702,226238,380826,4466
01/14/2021,23107573,229871,384790,3964
01/15/2021,23342548,234975,388720,3930
01/16/2021,23583255,240707,392525,3805
01/17/2021,23784019,200764,395877,3352
01/18/2021,23961423,177404,397628,1751
01/19/2021,24104028,142605,399033,1405
01/20/2021,24281012,176984,401807,2774
01/21/2021,24463591,182579,406184,4377
01/22/2021,24656646,193055,410387,4203
01/23/2021,24846678,190032,414147,3760
01/24/2021,25016816,170138,417476,3329
01/25/2021,25147891,131075,419251,1775
01/26/2021,25298986,151095,421168,1917
01/27/2021,25445583,146597,425252,4084
01/28/2021,25598061,152478,429195,3943
01/29/2021,25766681,168620,433195,4000
01/30/2021,25932794,166113,436799,3604
01/31/2021,26074885,142091,439530,2731
02/01/2021,26186781,111896,441324,1794
02/02/2021,26321120,134339,443355,2031
02/03/2021,26435557,114437,446885,3530
02/04/2021,26557026,121469,450797,3912
02/05/2021,26680214,123188,455881,5084
02/06/2021,26813772,133558,459555,3674
02/07/2021,26917787,104015,462169,2614
02/08/2021,27007368,89581,463476,1307
02/09/2021,27097095,89727,465072,1596
02/10/2021,27192455,95360,468203,3131
02/11/2021,27287159,94704,471567,3364
02/12/2021,27392512,105353,475444,3877
02/13/2021,27492023,99511,480887,5443
02/14/2021,27575344,83321,484248,3361
02/15/2021,27640282,64938,485336,1088
02/16/2021,27694165,53883,486325,989
02/17/2021,27756624,62459,488081,1756
02/18/2021,27826812,70188,490540,2459
02/19/2021,27896040,69228,493098,2558
02/20/2021,28006110,110070,495804,2706
02/21/2021,28077620,71510,497648,1844
02/22/2021,28134115,56495,498897,1249
02/23/2021,28190159,56044,500310,1413
02/24/2021,28261595,71436,502660,2350
02/25/2021,28336097,74502,505890,3230
02/26/2021,28413388,77291,508307,2417
02/27/2021,28486394,73006,510458,2151
02/28/2021,28554465,68071,511994,1536
03/01/2021,28605669,51204,513091,1097
03/02/2021,28664481,58812,514657,1566
03/03/2021,28721261,56780,516581,1924
03/04/2021,28759980,38719,518453,1872
03/05/2021,28827144,67164,520356,1903
03/06/2021,28894541,67397,522876,2520
03/07/2021,28952970,58429,524362,1486
03/08/2021,28993310,40340,525031,669
03/09/2021,29038631,45321,525752,721
03/10/2021,29096048,57417,527699,1947
03/11/2021,29154659,58611,529263,1564
03/12/2021,29286134,131475,530821,1558
03/13/2021,29347338,61204,532590,1769
03/14/2021,29400553,53215,534316,1726
03/15/2021,29438775,38222,534888,572
03/16/2021,29495424,56649,535628,740
03/17/2021,29549003,53579,536914,1286
03/18/2021,29607483,58480,538087,1173
03/19/2021,29668587,61104,539698,1611
03/20/2021,29730000,61413,541143,1445
03/21/2021,29785285,55285,541926,783
03/22/2021,29818930,33645,542359,433
03/23/2021,29869514,50584,542949,590
03/24/2021,29922392,52878,543843,894
03/25/2021,30011839,89447,545264,1421
03/26/2021,30079282,67443,546822,1558
03/27/2021,30156621,77339,548087,1265
03/28/2021,30218683,62062,548828,741
03/29/2021,30262377,43694,549335,507
03/30/2021,30331794,69417,550120,785
03/31/2021,30393701,61907,550996,876
04/01/2021,30460730,67029,552072,1076
04/02/2021,30539868,79138,553136,1064
04/03/2021,30609690,69822,554103,967
04/04/2021,30671844,62154,554779,676
04/05/2021,30706126,34282,555001,222
04/06/2021,30785390,79264,555613,612
04/07/2021,30847348,61958,556546,933
04/08/2021,30922386,75038,559116,2570
04/09/2021,31002264,79878,560116,1000
04/10/2021,31084962,82698,561074,958
04/11/2021,31151495,66533,561783,709
04/12/2021,31197873,46378,562066,283
04/13/2021,31268107,70234,562533,467
04/14/2021,31345985,77878,563446,913
04/15/2021,31421360,75375,564402,956
04/16/2021,31495649,74289,565289,887
04/17/2021,31575640,79991,566224,935
04/18/2021,31628013,52373,566904,680
04/19/2021,31670031,42018,567217,313
04/20/2021,31737964,67933,567694,477
04/21/2021,31799237,61273,568560,866
04/22/2021,31862094,62857,569402,842
04/23/2021,31929351,67257,570345,943
04/24/2021,31991750,62399,571197,852
04/25/2021,32045113,53363,571921,724
04/26/2021,32077178,32065,572200,279
04/27/2021,32124869,47691,572674,474
04/28/2021,32175725,50856,573381,707
04/29/2021,32230850,55125,574340,959
04/30/2021,32289049,58199,575194,854
05/01/2021,32346971,57922,576232,1038
05/02/2021,32392274,45303,576722,490
05/03/2021,32421641,29367,577045,323
05/04/2021,32472201,50560,577566,521
05/05/2021,32512934,40733,578499,933
05/06/2021,32557444,44510,579275,776
05/07/2021,32604810,47366,580064,789
05/08/2021,32651865,47055,580901,837
05/09/2021,32686358,34493,581516,615
05/10/2021,32707750,21392,581754,238
05/11/2021,32743981,36231,582153,399
05/12/2021,32778906,34925,582837,684
05/13/2021,32814784,35878,583685,848
05/14/2021,32852871,38087,584487,802
05/15/2021,32895169,42298,585232,745
05/16/2021,32923982,28813,585708,476
05/17/2021,32940846,16864,585970,262
05/18/2021,32969480,28634,586362,392
05/19/2021,32997331,27851,587219,857
05/20/2021,33026624,29293,587874,655
05/21/2021,33056765,30141,588539,665
05/22/2021,33085106,28341,589223,684
05/23/2021,33104884,19778,589703,480
05/24/2021,33117737,12853,589893,190
05/25/2021,33143662,25925,590320,427
05/26/2021,33166418,22756,590941,621
05/27/2021,33190470,24052,591950,1009
05/28/2021,33217995,27525,593288,1338
05/29/2021,33239963,21968,593963,675
05/30/2021,33251939,11976,594306,343
05/31/2021,33258664,6725,594430,124
06/01/2021,33264399,5735,594568,138
06/02/2021,33290450,26051,595223,655
06/03/2021,33307363,16913,595833,610
06/04/2021,33326437,19074,596434,601
06/05/2021,33343297,16860,597001,567
06/06/2021,33357205,13908,597377,376
06/07/2021,33362600,5395,597628,251
06/08/2021,33378096,15496,597952,324
06/09/2021,33393246,15150,598332,380
06/10/2021,33411893,18647,598764,432
06/11/2021,33424296,12403,598744,0
06/12/2021,33449200,24904,599472,728
06/13/2021,33457407,8207,599664,192
06/14/2021,33461982,4575,599775,111
06/15/2021,33474734,12752,599946,171
06/16/2021,33486038,11304,600285,339
06/17/2021,33498468,12430,600653,368
06/18/2021,33508867,10399,600934,281
06/19/2021,33516175,7308,601571,637
06/20/2021,33537995,21820,601741,170
06/21/2021,33541887,3892,601824,83
06/22/2021,33554275,12388,602092,268
06/23/2021,33565215,10940,602462,370
06/24/2021,33577651,12436,602837,375
06/25/2021,33590481,12830,603178,341
06/26/2021,33603148,12667,603527,349
06/27/2021,33621499,18351,603891,364
06/28/2021,33624983,3484,603966,75
06/29/2021,33640502,15519,604115,149
06/30/2021,33652098,11596,604474,359
07/01/2021,33664970,12872,604714,240
07/02/2021,33679433,14463,605019,305
07/03/2021,33709131,29698,605524,505
07/04/2021,33713870,4739,605493,0
07/05/2021,33717567,3697,605526,33
07/06/2021,33723289,5722,605567,41
07/07/2021,33747513,24224,605906,339
07/08/2021,33770444,22931,606218,312
07/09/2021,33790505,20061,606475,257
07/10/2021,33838746,48241,606993,518
07/11/2021,33847784,9038,607132,139
07/12/2021,33853948,6164,607156,24
07/13/2021,33888961,35013,607399,243
07/14/2021,33915385,26424,607784,385
07/15/2021,33947230,31845,608115,331
07/16/2021,33975642,28412,608398,283
07/17/2021,34054952,79310,608815,417
07/18/2021,34067912,12960,608884,69
07/19/2021,34079960,12048,609019,135
07/20/2021,34132071,52111,609231,212
07/21/2021,34174774,42703,609529,298
07/22/2021,34226806,52032,609862,333
07/23/2021,34281864,55058,610177,315
07/24/2021,34400655,118791,610720,543
07/25/2021,34428050,27395,610835,115
07/26/2021,34443761,15711,610891,56
07/27/2021,34533179,89418,610952,61
07/28/2021,34603919,70740,611414,462
07/29/2021,34672690,68771,611801,387
07/30/2021,34750860,78170,612122,321
07/31/2021,34945468,194608,613013,891
08/01/2021,34978276,32808,613157,144
08/02/2021,35003417,25141,613228,71
08/03/2021,35131393,127976,613679,451
08/04/2021,35237950,106557,614295,616
08/05/2021,35330664,92714,614785,490
08/06/2021,35440488,109824,615320,535
08/07/2021,35695469,254981,616493,1173
08/08/2021,35739551,44082,616718,225
08/09/2021,35763785,24234,616829,111
08/10/2021,35948131,184346,617321,492
08/11/2021,36055002,106871,618137,816
08/12/2021,36190179,135177,618479,342
08/13/2021,36306724,116545,619093,614
08/14/2021,36597564,290840,621016,1923
08/15/2021,36640271,42707,621253,237
08/16/2021,36678753,38482,621635,382
08/17/2021,36888952,210199,622321,686
08/18/2021,37017854,128902,623322,1001
08/19/2021,37155669,137815,624258,936
08/20/2021,37294141,138472,625166,908
08/21/2021,37613597,319456,627843,2677
08/22/2021,37673118,59521,628303,460
08/23/2021,37709810,36692,628503,200
08/24/2021,37939641,229831,629411,908
08/25/2021,38074886,135245,630816,1405
08/26/2021,38223029,148143,632272,1456
08/27/2021,38384360,161331,633564,1292
08/28/2021,38707294,322934,636720,3156
08/29/2021,38760363,53069,637254,534
08/30/2021,38798836,38473,637539,285
08/31/2021,39057368,258532,638711,1172
09/01/2021,39198131,140763,640108,1397
09/02/2021,39396156,198025,642081,1973
09/03/2021,39549299,153143,643669,1588
09/04/2021,39850256,300957,647579,3910
09/05/2021,39906426,56170,648106,527
09/06/2021,39944987,38561,648468,362
09/07/2021,40018318,73331,648998,530
09/08/2021,40280001,261683,650511,1513
09/09/2021,40456711,176710,652657,2146
09/10/2021,40601792,145081,654583,1926
09/11/2021,40863868,262076,658992,4409
09/12/2021,40921394,57526,659691,699
09/13/2021,40955201,33807,659970,279
09/14/2021,41221266,266065,662106,2136
09/15/2021,41365161,143895,663929,1823
09/16/2021,41627946,262785,666607,2678
09/17/2021,41785903,157957,670000,3393
09/18/2021,41993789,207886,672635,2635
09/19/2021,42050638,56849,673472,837
09/20/2021,42087432,36794,673763,291
09/21/2021,42289819,202387,676076,2313
09/22/2021,42410607,120788,678407,2331
09/23/2021,42543510,132903,681192,2785
09/24/2021,42672241,128731,684349,3157
09/25/2021,42853724,181483,687084,2735
09/26/2021,42900402,46678,687746,662
09/27/2021,42931354,30952,688032,286
09/28/2021,43116442,185088,690426,2394
09/29/2021,43227604,111162,692583,2157
09/30/2021,43349211,121607,695114,2531
10/01/2021,43460343,111132,697851,2737
10/02/2021,43618627,158284,700285,2434
10/03/2021,43657833,39206,700932,647
10/04/2021,43683048,25215,701169,237
10/05/2021,43852255,169207,703278,2109
10/06/2021,43947324,95069,705225,1947
10/07/2021,44058827,111503,707781,2556
10/08/2021,44158910,100083,710173,2392
10/09/2021,44290052,131142,712693,2520
10/10/2021,44317553,27501,712972,279
10/11/2021,44339747,22194,712873,0
10/12/2021,44455957,116210,714056,1183
10/13/2021,44562693,106736,716471,2415
10/14/2021,44684150,121457,719558,3087
10/15/2021,44767906,83756,721563,2005
10/16/2021,44884868,116962,723754,2191
10/17/2021,44916423,31555,724153,399
10/18/2021,44933336,16913,724317,164
10/19/2021,45050910,117574,725835,1518
10/20/2021,45132148,81238,728192,2357
10/21/2021,45218907,86759,731263,3071
10/22/2021,45300970,82063,733213,1950
10/23/2021,45400466,99496,735373,2160
10/24/2021,45427464,26998,735800,427
10/25/2021,45444260,16796,735941,141
10/26/2021,45547158,102898,737342,1401
10/27/2021,45627021,79863,739090,1748
10/28/2021,45726714,99693,741582,2492
10/29/2021,45826523,99809,743358,1776
10/30/2021,45923884,97361,745377,2019
10/31/2021,45953186,29302,745668,291
