Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths
1/22/2020,0,,0,
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,0,0,0,0
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,0,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,0,0,0,0
2/12/2020,0,0,0,0
2/13/2020,0,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0,0,0
2/19/2020,0,0,0,0
2/20/2020,0,0,0,0
2/21/2020,0,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,2,2,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,4,2,0,0
2/29/2020,4,0,0,0
3/1/2020,4,0,0,0
3/2/2020,5,1,0,0
3/3/2020,5,0,0,0
3/4/2020,5,0,0,0
3/5/2020,6,1,0,0
3/6/2020,6,0,0,0
3/7/2020,6,0,0,0
3/8/2020,6,0,0,0
3/9/2020,16,10,0,0
3/10/2020,19,3,0,0
3/11/2020,20,1,0,0
3/12/2020,28,8,0,0
3/13/2020,31,3,0,0
3/14/2020,53,22,0,0
3/15/2020,136,83,0,0
3/16/2020,236,100,0,0
3/17/2020,299,63,0,0
3/18/2020,454,155,2,2
3/19/2020,501,47,3,1
3/20/2020,730,229,3,0
3/21/2020,776,46,5,2
3/22/2020,875,99,6,1
3/23/2020,972,97,7,1
3/24/2020,1063,91,8,1
3/25/2020,1201,138,9,1
3/26/2020,1373,172,11,2
3/27/2020,1495,122,12,1
3/28/2020,1597,102,14,2
3/29/2020,1717,120,21,7
3/30/2020,1938,221,26,5
3/31/2020,2118,180,27,1
4/1/2020,2421,303,34,7
4/2/2020,2686,265,40,6
4/3/2020,2818,132,41,1
4/4/2020,3157,339,47,6
4/5/2020,3766,609,53,6
4/6/2020,4035,269,57,4
4/7/2020,4263,228,61,4
4/8/2020,4489,226,65,4
4/9/2020,4695,206,66,1
4/10/2020,5011,316,86,20
4/11/2020,5230,219,91,5
4/12/2020,5496,266,93,2
4/13/2020,5837,341,96,3
4/14/2020,6383,546,111,15
4/15/2020,6919,536,128,17
4/16/2020,7025,106,135,7
4/17/2020,7638,613,143,8
4/18/2020,8348,710,168,25
4/19/2020,8418,70,176,8
4/20/2020,9565,1147,201,25
4/21/2020,10076,511,212,11
4/22/2020,11155,1079,237,25
4/23/2020,11940,785,253,16
4/24/2020,12723,783,269,16
4/25/2020,13328,605,281,12
4/26/2020,13915,587,292,11
4/27/2020,14612,697,312,20
4/28/2020,15525,913,343,31
4/29/2020,16817,1292,385,42
4/30/2020,18114,1297,417,32
5/1/2020,19103,989,440,23
5/2/2020,20084,981,457,17
5/3/2020,20941,857,476,19
5/4/2020,22049,1108,514,38
5/5/2020,24073,2024,564,50
5/6/2020,24644,571,585,21
5/7/2020,26435,1791,599,14
5/8/2020,28736,2301,636,37
5/9/2020,30334,1598,659,23
5/10/2020,32081,1747,706,47
5/11/2020,34336,2255,737,31
5/12/2020,35298,962,761,24
5/13/2020,35788,490,770,9
5/14/2020,38799,3011,834,64
5/15/2020,38799,0,834,0
5/16/2020,40151,1352,873,39
5/17/2020,42125,1974,903,30
5/18/2020,43966,1841,939,36
5/19/2020,45898,1932,985,46
5/20/2020,48091,2193,1017,32
5/21/2020,50694,2603,1067,50
5/22/2020,52437,1743,1101,34
5/23/2020,54601,2164,1133,32
5/24/2020,56349,1748,1167,34
5/25/2020,57705,1356,1197,30
5/26/2020,59151,1446,1225,28
5/27/2020,61227,2076,1260,35
5/28/2020,64028,2801,1317,57
5/29/2020,66457,2429,1395,78
5/30/2020,69496,3039,1483,88
5/31/2020,72460,2964,1543,60
6/1/2020,76398,3938,1621,78
6/2/2020,80463,4065,1688,67
6/3/2020,85264,4801,1770,82
6/4/2020,89249,3985,1838,68
6/5/2020,93983,4734,1935,97
6/6/2020,98943,4960,2002,67
6/7/2020,103671,4728,2067,65
6/8/2020,108317,4646,2172,105
6/9/2020,113702,5385,2255,83
6/10/2020,119536,5834,2356,101
6/11/2020,125933,6397,2463,107
6/12/2020,125933,0,2463,0
6/13/2020,132405,6472,2551,88
6/14/2020,144478,12073,2729,178
6/15/2020,148921,4443,2839,110
6/16/2020,154760,5839,2975,136
6/17/2020,160118,5358,3093,118
6/18/2020,165062,4944,3229,136
6/19/2020,171666,6604,3382,153
6/20/2020,176617,4951,3501,119
6/21/2020,181088,4471,3590,89
6/22/2020,185034,3946,3695,105
6/23/2020,188926,3892,3755,60
6/24/2020,192970,4044,3903,148
6/25/2020,195745,2775,3962,59
6/26/2020,198883,3138,4035,73
6/27/2020,202955,4072,4118,83
6/28/2020,206512,3557,4167,49
6/29/2020,209337,2825,4304,137
6/30/2020,213470,4133,4395,91
7/1/2020,217809,4339,4473,78
7/2/2020,221896,4087,4551,78
7/3/2020,221896,0,4551,0
7/4/2020,225283,3387,4619,68
7/5/2020,231818,6535,4762,143
7/6/2020,234509,2691,4839,77
7/7/2020,237489,2980,4922,83
7/8/2020,240848,3359,4983,61
7/9/2020,243599,2751,5058,75
7/10/2020,246351,2752,5123,65
7/11/2020,248872,2521,5197,74
7/12/2020,251625,2753,5266,69
7/13/2020,253604,1979,5320,54
7/14/2020,255769,2165,5386,66
7/15/2020,257914,2145,5426,40
7/16/2020,257914,0,5426,0
7/17/2020,261917,4003,5522,96
7/18/2020,263496,1579,5568,46
7/19/2020,265083,1587,5599,31
7/20/2020,266096,1013,5639,40
7/21/2020,267428,1332,5677,38
7/22/2020,269191,1763,5709,32
7/23/2020,270400,1209,5763,54
7/24/2020,271887,1487,5787,24
7/25/2020,273113,1226,5822,35
7/26/2020,273113,0,5822,0
7/27/2020,274289,1176,5842,20
7/28/2020,275225,936,5865,23
7/29/2020,276288,1063,5892,27
7/30/2020,277402,1114,5924,32
7/31/2020,278305,903,5951,27
8/1/2020,278305,0,5951,0
8/2/2020,279699,1394,5976,25
8/3/2020,280461,762,5999,23
8/4/2020,280461,0,5999,0
8/5/2020,281136,675,6014,15
8/6/2020,281863,727,6035,21
8/7/2020,282645,782,6052,17
8/8/2020,283487,842,6068,16
8/9/2020,284121,634,6082,14
8/10/2020,284660,539,6097,15
8/11/2020,285191,531,6112,15
8/12/2020,285921,730,6129,17
8/13/2020,286674,753,6139,10
8/14/2020,287300,626,6153,14
8/15/2020,288047,747,6162,9
8/16/2020,289215,1168,6175,13
8/17/2020,289215,0,6175,0
8/18/2020,289832,617,6190,15
8/19/2020,290445,613,6201,11
8/20/2020,290958,513,6209,8
8/21/2020,291588,630,6219,10
8/22/2020,292174,586,6231,12
8/23/2020,293261,1087,6244,13
8/24/2020,293261,0,6244,0
8/25/2020,293711,450,6255,11
8/26/2020,294193,482,6267,12
8/27/2020,294638,445,6274,7
8/28/2020,295053,415,6283,9
8/29/2020,295372,319,6284,1
8/30/2020,295636,264,6288,4
8/31/2020,295849,213,6294,6
9/1/2020,296149,300,6298,4
9/2/2020,297014,865,6328,30
9/3/2020,297512,498,6335,7
9/4/2020,298025,513,6340,5
9/5/2020,298025,0,6340,0
9/6/2020,298903,878,6345,5
9/7/2020,299233,330,6350,5
9/8/2020,299659,426,6359,9
9/9/2020,300030,371,6365,6
9/10/2020,300371,341,6370,5
9/11/2020,300955,584,6373,3
9/12/2020,301481,526,6379,6
9/13/2020,302020,539,6383,4
9/14/2020,302424,404,6389,6
9/15/2020,303089,665,6393,4
9/16/2020,303634,545,6399,6
9/17/2020,304386,752,6408,9
9/18/2020,305031,645,6415,7
9/19/2020,305671,640,6416,1
9/20/2020,306304,633,6420,4
9/21/2020,306886,582,6424,4
9/22/2020,307418,532,6432,8
9/23/2020,308217,799,6437,5
9/24/2020,309015,798,6444,7
9/25/2020,309581,566,6451,7
9/26/2020,310275,694,6457,6
9/27/2020,310841,566,6466,9
9/28/2020,311516,675,6474,8
9/29/2020,312263,747,6479,5
9/30/2020,312806,543,6484,5
10/1/2020,313431,625,6499,15
10/2/2020,313984,553,6507,8
10/3/2020,314616,632,6513,6
10/4/2020,314616,0,6513,0
10/5/2020,315727,1111,6523,10
10/6/2020,316351,624,6535,12
10/7/2020,316934,583,6544,9
10/8/2020,317595,661,6552,8
10/9/2020,318266,671,6558,6
10/10/2020,318932,666,6570,12
10/11/2020,319317,385,6580,10
10/12/2020,319848,531,6588,8
10/13/2020,320463,615,6601,13
10/14/2020,321218,755,6614,13
10/15/2020,321877,659,6621,7
10/16/2020,322452,575,6638,17
10/17/2020,323019,567,6654,16
10/18/2020,323452,433,6659,5
10/19/2020,324034,582,6673,14
10/20/2020,324744,710,6692,19
10/21/2020,325480,736,6702,10
10/22/2020,326216,736,6715,13
10/23/2020,327063,847,6727,12
10/24/2020,327895,832,6736,9
10/25/2020,328602,707,6739,3
10/26/2020,329375,773,6745,6
10/27/2020,330200,825,6759,14
10/28/2020,331108,908,6775,16
10/29/2020,332186,1078,6795,20
10/30/2020,332993,807,6806,11
10/31/2020,333970,977,6823,17
11/1/2020,335093,1123,6835,12
11/2/2020,336260,1167,6849,14
11/3/2020,337573,1313,6867,18
11/4/2020,338875,1302,6893,26
11/5/2020,340251,1376,6923,30
11/6/2020,341753,1502,6943,20
11/7/2020,343189,1436,6968,25
11/8/2020,344839,1650,6977,9
11/9/2020,346476,1637,7000,23
11/10/2020,348184,1708,7021,21
11/11/2020,349992,1808,7055,34
11/12/2020,352296,2304,7092,37
11/13/2020,354461,2165,7109,17
11/14/2020,356904,2443,7141,32
11/15/2020,359032,2128,7160,19
11/16/2020,361082,2050,7193,33
11/17/2020,363380,2298,7230,37
11/18/2020,365927,2547,7248,18
11/19/2020,368665,2738,7561,313
11/20/2020,371508,2843,7603,42
11/21/2020,374173,2665,7662,59
11/22/2020,376929,2756,7696,34
11/23/2020,379883,2954,7744,48
11/24/2020,382892,3009,7803,59
11/25/2020,386198,3306,7843,40
11/26/2020,389311,3113,7897,54
11/27/2020,392356,3045,7942,45
11/28/2020,395185,2829,7985,43
11/29/2020,398024,2839,8025,40
11/30/2020,400482,2458,8091,66
12/1/2020,403311,2829,8166,75
12/2/2020,406810,3499,8205,39
12/3/2020,410072,3262,8260,55
12/4/2020,413191,3119,8303,43
12/5/2020,416499,3308,8361,58
12/6/2020,420294,3795,8398,37
12/7/2020,423179,2885,8487,89
12/8/2020,426142,2963,8547,60
12/9/2020,429280,3138,8603,56
12/10/2020,432327,3047,8653,50
12/11/2020,435056,2729,8724,71
12/12/2020,438425,3369,8796,72
12/13/2020,440787,2362,8832,36
12/14/2020,443246,2459,8905,73
12/15/2020,445977,2731,9010,105
12/16/2020,448522,2545,9080,70
12/17/2020,451494,2972,9164,84
12/18/2020,454673,3179,9250,86
12/19/2020,457288,2615,9330,80
12/20/2020,458968,1680,9392,62
12/21/2020,460672,1704,9474,82
12/22/2020,462814,2142,9557,83
12/23/2020,465070,2256,9668,111
12/24/2020,467222,2152,9753,85
12/25/2020,469482,2260,9816,63
12/26/2020,471335,1853,9874,58
12/27/2020,473309,1974,9929,55
12/28/2020,475085,1776,9992,63
12/29/2020,477240,2155,10047,55
12/30/2020,479715,2475,10105,58
12/31/2020,482178,2463,10176,71
1/1/2021,484362,2184,10258,82
1/2/2021,486634,2272,10311,53
1/3/2021,488529,1895,10350,39
1/4/2021,490476,1947,10409,59
1/5/2021,492594,2118,10461,52
1/6/2021,495075,2481,10511,50
1/7/2021,497510,2435,10558,47
1/8/2021,499517,2007,10598,40
1/9/2021,502416,2899,10644,46
1/10/2021,504293,1877,10676,32
1/11/2021,506701,2408,10717,41
1/12/2021,508824,2123,10772,55
1/13/2021,511921,3097,10818,46
1/14/2021,514338,2417,10863,45
1/15/2021,516770,2432,10908,45
1/16/2021,519291,2521,10951,43
